NAMA_DAERAH,NAMA_PROVINSI,PULAU
Kab. Aceh Barat,Provinsi Aceh,Sumatera
Kab. Aceh Besar,Provinsi Aceh,Sumatera
Kab. Aceh Selatan,Provinsi Aceh,Sumatera
Kab. Aceh Singkil,Provinsi Aceh,Sumatera
Kab. Aceh Tengah,Provinsi Aceh,Sumatera
Kab. Aceh Tenggara,Provinsi Aceh,Sumatera
Kab. Aceh Timur,Provinsi Aceh,Sumatera
Kab. Aceh Utara,Provinsi Aceh,Sumatera
Kab. Bireuen,Provinsi Aceh,Sumatera
Kab. Pidie,Provinsi Aceh,Sumatera
Kab. Simeulue,Provinsi Aceh,Sumatera
Kota Banda Aceh,Provinsi Aceh,Sumatera
Kota Sabang,Provinsi Aceh,Sumatera
Kota Langsa,Provinsi Aceh,Sumatera
Kota Lhokseumawe,Provinsi Aceh,Sumatera
Kab. Gayo Lues,Provinsi Aceh,Sumatera
Kab. Aceh Barat Daya,Provinsi Aceh,Sumatera
Kab. Aceh Jaya,Provinsi Aceh,Sumatera
Kab. Nagan Raya,Provinsi Aceh,Sumatera
Kab. Aceh Tamiang,Provinsi Aceh,Sumatera
Kab. Bener Meriah,Provinsi Aceh,Sumatera
Kab. Pidie Jaya,Provinsi Aceh,Sumatera
Kota Subulussalam,Provinsi Aceh,Sumatera
Kab. Asahan,Provinsi Sumatera Utara,Sumatera
Kab. Dairi,Provinsi Sumatera Utara,Sumatera
Kab. Deli Serdang,Provinsi Sumatera Utara,Sumatera
Kab. Karo,Provinsi Sumatera Utara,Sumatera
Kab. Labuhanbatu,Provinsi Sumatera Utara,Sumatera
Kab. Langkat,Provinsi Sumatera Utara,Sumatera
Kab. Mandailing Natal,Provinsi Sumatera Utara,Sumatera
Kab. Nias,Provinsi Sumatera Utara,Sumatera
Kab. Simalungun,Provinsi Sumatera Utara,Sumatera
Kab. Tapanuli Selatan,Provinsi Sumatera Utara,Sumatera
Kab. Tapanuli Tengah,Provinsi Sumatera Utara,Sumatera
Kab. Tapanuli Utara,Provinsi Sumatera Utara,Sumatera
Kab. Toba Samosir,Provinsi Sumatera Utara,Sumatera
Kota Binjai,Provinsi Sumatera Utara,Sumatera
Kota Medan,Provinsi Sumatera Utara,Sumatera
Kota Pematang Siantar,Provinsi Sumatera Utara,Sumatera
Kota Sibolga,Provinsi Sumatera Utara,Sumatera
Kota Tanjung Balai,Provinsi Sumatera Utara,Sumatera
Kota Tebing Tinggi,Provinsi Sumatera Utara,Sumatera
Kota Padang Sidempuan,Provinsi Sumatera Utara,Sumatera
Kab. Pakpak Bharat,Provinsi Sumatera Utara,Sumatera
Kab. Nias Selatan,Provinsi Sumatera Utara,Sumatera
Kab. Humbang Hasundutan,Provinsi Sumatera Utara,Sumatera
Kab. Serdang Bedagai,Provinsi Sumatera Utara,Sumatera
Kab. Samosir,Provinsi Sumatera Utara,Sumatera
Kab. Batu Bara,Provinsi Sumatera Utara,Sumatera
Kab. Padang Lawas,Provinsi Sumatera Utara,Sumatera
Kab. Padang Lawas Utara,Provinsi Sumatera Utara,Sumatera
Kab. Labuhanbatu Selatan,Provinsi Sumatera Utara,Sumatera
Kab. Labuhanbatu Utara,Provinsi Sumatera Utara,Sumatera
Kab. Nias Utara,Provinsi Sumatera Utara,Sumatera
Kab. Nias Barat,Provinsi Sumatera Utara,Sumatera
Kota Gunungsitoli,Provinsi Sumatera Utara,Sumatera
Kab. Limapuluh Kota,Provinsi Sumatera Barat,Sumatera
Kab. Agam,Provinsi Sumatera Barat,Sumatera
Kab. Kepulauan Mentawai,Provinsi Sumatera Barat,Sumatera
Kab. Padang Pariaman,Provinsi Sumatera Barat,Sumatera
Kab. Pasaman,Provinsi Sumatera Barat,Sumatera
Kab. Pesisir Selatan,Provinsi Sumatera Barat,Sumatera
Kab. Sijunjung,Provinsi Sumatera Barat,Sumatera
Kab. Solok,Provinsi Sumatera Barat,Sumatera
Kab. Tanah Datar,Provinsi Sumatera Barat,Sumatera
Kota Bukit Tinggi,Provinsi Sumatera Barat,Sumatera
Kota Padang Panjang,Provinsi Sumatera Barat,Sumatera
Kota Padang,Provinsi Sumatera Barat,Sumatera
Kota Payakumbuh,Provinsi Sumatera Barat,Sumatera
Kota Sawahlunto,Provinsi Sumatera Barat,Sumatera
Kota Solok,Provinsi Sumatera Barat,Sumatera
Kota Pariaman,Provinsi Sumatera Barat,Sumatera
Kab. Pasaman Barat,Provinsi Sumatera Barat,Sumatera
Kab. Dharmasraya,Provinsi Sumatera Barat,Sumatera
Kab. Solok Selatan,Provinsi Sumatera Barat,Sumatera
Kab. Bengkalis,Provinsi Riau,Sumatera
Kab. Indragiri Hilir,Provinsi Riau,Sumatera
Kab. Indragiri Hulu,Provinsi Riau,Sumatera
Kab. Kampar,Provinsi Riau,Sumatera
Kab. Kuantan Singingi,Provinsi Riau,Sumatera
Kab. Pelalawan,Provinsi Riau,Sumatera
Kab. Rokan Hilir,Provinsi Riau,Sumatera
Kab. Rokan Hulu,Provinsi Riau,Sumatera
Kab. Siak,Provinsi Riau,Sumatera
Kota Dumai,Provinsi Riau,Sumatera
Kota Pekanbaru,Provinsi Riau,Sumatera
Kab. Kepulauan Meranti,Provinsi Riau,Sumatera
Kab. Batanghari,Provinsi Jambi,Sumatera
Kab. Bungo,Provinsi Jambi,Sumatera
Kab. Kerinci,Provinsi Jambi,Sumatera
Kab. Merangin,Provinsi Jambi,Sumatera
Kab. Muaro Jambi,Provinsi Jambi,Sumatera
Kab. Sarolangun,Provinsi Jambi,Sumatera
Kab. Tanjung Jabung Barat,Provinsi Jambi,Sumatera
Kab. Tanjung Jabung Timur,Provinsi Jambi,Sumatera
Kab. Tebo,Provinsi Jambi,Sumatera
Kota Jambi,Provinsi Jambi,Sumatera
Kota Sungai Penuh,Provinsi Jambi,Sumatera
Kab. Lahat,Provinsi Sumatera Selatan,Sumatera
Kab. Musi Banyuasin,Provinsi Sumatera Selatan,Sumatera
Kab. Musi Rawas,Provinsi Sumatera Selatan,Sumatera
Kab. Muara Enim,Provinsi Sumatera Selatan,Sumatera
Kab. Ogan Komering Ilir,Provinsi Sumatera Selatan,Sumatera
Kab. Ogan Komering Ulu,Provinsi Sumatera Selatan,Sumatera
Kota Palembang,Provinsi Sumatera Selatan,Sumatera
Kota Prabumulih,Provinsi Sumatera Selatan,Sumatera
Kota Pagar Alam,Provinsi Sumatera Selatan,Sumatera
Kota Lubuk Linggau,Provinsi Sumatera Selatan,Sumatera
Kab. Banyuasin,Provinsi Sumatera Selatan,Sumatera
Kab. Ogan Ilir,Provinsi Sumatera Selatan,Sumatera
Kab. OKU Timur,Provinsi Sumatera Selatan,Sumatera
Kab. OKU Selatan,Provinsi Sumatera Selatan,Sumatera
Kab. Empat Lawang,Provinsi Sumatera Selatan,Sumatera
Kab. Penukal Abab Lematang Ilir,Provinsi Sumatera Selatan,Sumatera
Kab. Musi Rawas Utara,Provinsi Sumatera Selatan,Sumatera
Kab. Bengkulu Selatan,Provinsi Bengkulu,Sumatera
Kab. Bengkulu Utara,Provinsi Bengkulu,Sumatera
Kab. Rejang Lebong,Provinsi Bengkulu,Sumatera
Kota Bengkulu,Provinsi Bengkulu,Sumatera
Kab. Kaur,Provinsi Bengkulu,Sumatera
Kab. Seluma,Provinsi Bengkulu,Sumatera
Kab. Mukomuko,Provinsi Bengkulu,Sumatera
Kab. Lebong,Provinsi Bengkulu,Sumatera
Kab. Kepahiang,Provinsi Bengkulu,Sumatera
Kab. Bengkulu Tengah,Provinsi Bengkulu,Sumatera
Kab. Lampung Barat,Provinsi Lampung,Sumatera
Kab. Lampung Selatan,Provinsi Lampung,Sumatera
Kab. Lampung Tengah,Provinsi Lampung,Sumatera
Kab. Lampung Utara,Provinsi Lampung,Sumatera
Kab. Lampung Timur,Provinsi Lampung,Sumatera
Kab. Tanggamus,Provinsi Lampung,Sumatera
Kab. Tulang Bawang,Provinsi Lampung,Sumatera
Kab. Way Kanan,Provinsi Lampung,Sumatera
Kota Bandar Lampung,Provinsi Lampung,Sumatera
Kota Metro,Provinsi Lampung,Sumatera
Kab. Pesawaran,Provinsi Lampung,Sumatera
Kab. Pringsewu,Provinsi Lampung,Sumatera
Kab. Mesuji,Provinsi Lampung,Sumatera
Kab. Tulang Bawang Barat,Provinsi Lampung,Sumatera
Kab. Pesisir Barat,Provinsi Lampung,Sumatera
Kab. Bandung,Provinsi Jawa Barat,Jawa
Kab. Bekasi,Provinsi Jawa Barat,Jawa
Kab. Bogor,Provinsi Jawa Barat,Jawa
Kab. Ciamis,Provinsi Jawa Barat,Jawa
Kab. Cianjur,Provinsi Jawa Barat,Jawa
Kab. Cirebon,Provinsi Jawa Barat,Jawa
Kab. Garut,Provinsi Jawa Barat,Jawa
Kab. Indramayu,Provinsi Jawa Barat,Jawa
Kab. Karawang,Provinsi Jawa Barat,Jawa
Kab. Kuningan,Provinsi Jawa Barat,Jawa
Kab. Majalengka,Provinsi Jawa Barat,Jawa
Kab. Purwakarta,Provinsi Jawa Barat,Jawa
Kab. Subang,Provinsi Jawa Barat,Jawa
Kab. Sukabumi,Provinsi Jawa Barat,Jawa
Kab. Sumedang,Provinsi Jawa Barat,Jawa
Kab. Tasikmalaya,Provinsi Jawa Barat,Jawa
Kota Bandung,Provinsi Jawa Barat,Jawa
Kota Bekasi,Provinsi Jawa Barat,Jawa
Kota Bogor,Provinsi Jawa Barat,Jawa
Kota Cirebon,Provinsi Jawa Barat,Jawa
Kota Depok,Provinsi Jawa Barat,Jawa
Kota Sukabumi,Provinsi Jawa Barat,Jawa
Kota Tasikmalaya,Provinsi Jawa Barat,Jawa
Kota Cimahi,Provinsi Jawa Barat,Jawa
Kota Banjar,Provinsi Jawa Barat,Jawa
Kab. Bandung Barat,Provinsi Jawa Barat,Jawa
Kab. Pangandaran,Provinsi Jawa Barat,Jawa
Kab. Banjarnegara,Provinsi Jawa Tengah,Jawa
Kab. Banyumas,Provinsi Jawa Tengah,Jawa
Kab. Batang,Provinsi Jawa Tengah,Jawa
Kab. Blora,Provinsi Jawa Tengah,Jawa
Kab. Boyolali,Provinsi Jawa Tengah,Jawa
Kab. Brebes,Provinsi Jawa Tengah,Jawa
Kab. Cilacap,Provinsi Jawa Tengah,Jawa
Kab. Demak,Provinsi Jawa Tengah,Jawa
Kab. Grobogan,Provinsi Jawa Tengah,Jawa
Kab. Jepara,Provinsi Jawa Tengah,Jawa
Kab. Karanganyar,Provinsi Jawa Tengah,Jawa
Kab. Kebumen,Provinsi Jawa Tengah,Jawa
Kab. Kendal,Provinsi Jawa Tengah,Jawa
Kab. Klaten,Provinsi Jawa Tengah,Jawa
Kab. Kudus,Provinsi Jawa Tengah,Jawa
Kab. Magelang,Provinsi Jawa Tengah,Jawa
Kab. Pati,Provinsi Jawa Tengah,Jawa
Kab. Pekalongan,Provinsi Jawa Tengah,Jawa
Kab. Pemalang,Provinsi Jawa Tengah,Jawa
Kab. Purbalingga,Provinsi Jawa Tengah,Jawa
Kab. Purworejo,Provinsi Jawa Tengah,Jawa
Kab. Rembang,Provinsi Jawa Tengah,Jawa
Kab. Semarang,Provinsi Jawa Tengah,Jawa
Kab. Sragen,Provinsi Jawa Tengah,Jawa
Kab. Sukoharjo,Provinsi Jawa Tengah,Jawa
Kab. Tegal,Provinsi Jawa Tengah,Jawa
Kab. Temanggung,Provinsi Jawa Tengah,Jawa
Kab. Wonogiri,Provinsi Jawa Tengah,Jawa
Kab. Wonosobo,Provinsi Jawa Tengah,Jawa
Kota Magelang,Provinsi Jawa Tengah,Jawa
Kota Pekalongan,Provinsi Jawa Tengah,Jawa
Kota Salatiga,Provinsi Jawa Tengah,Jawa
Kota Semarang,Provinsi Jawa Tengah,Jawa
Kota Surakarta,Provinsi Jawa Tengah,Jawa
Kota Tegal,Provinsi Jawa Tengah,Jawa
Kab. Bantul,Provinsi DI Yogyakarta,Jawa
Kab. Gunung Kidul,Provinsi DI Yogyakarta,Jawa
Kab. Kulon Progo,Provinsi DI Yogyakarta,Jawa
Kab. Sleman,Provinsi DI Yogyakarta,Jawa
Kota Yogyakarta,Provinsi DI Yogyakarta,Jawa
Kab. Bangkalan,Provinsi Jawa Timur,Jawa
Kab. Banyuwangi,Provinsi Jawa Timur,Jawa
Kab. Blitar,Provinsi Jawa Timur,Jawa
Kab. Bojonegoro,Provinsi Jawa Timur,Jawa
Kab. Bondowoso,Provinsi Jawa Timur,Jawa
Kab. Gresik,Provinsi Jawa Timur,Jawa
Kab. Jember,Provinsi Jawa Timur,Jawa
Kab. Jombang,Provinsi Jawa Timur,Jawa
Kab. Kediri,Provinsi Jawa Timur,Jawa
Kab. Lamongan,Provinsi Jawa Timur,Jawa
Kab. Lumajang,Provinsi Jawa Timur,Jawa
Kab. Madiun,Provinsi Jawa Timur,Jawa
Kab. Magetan,Provinsi Jawa Timur,Jawa
Kab. Malang,Provinsi Jawa Timur,Jawa
Kab. Mojokerto,Provinsi Jawa Timur,Jawa
Kab. Nganjuk,Provinsi Jawa Timur,Jawa
Kab. Ngawi,Provinsi Jawa Timur,Jawa
Kab. Pacitan,Provinsi Jawa Timur,Jawa
Kab. Pamekasan,Provinsi Jawa Timur,Jawa
Kab. Pasuruan,Provinsi Jawa Timur,Jawa
Kab. Ponorogo,Provinsi Jawa Timur,Jawa
Kab. Probolinggo,Provinsi Jawa Timur,Jawa
Kab. Sampang,Provinsi Jawa Timur,Jawa
Kab. Sidoarjo,Provinsi Jawa Timur,Jawa
Kab. Situbondo,Provinsi Jawa Timur,Jawa
Kab. Sumenep,Provinsi Jawa Timur,Jawa
Kab. Trenggalek,Provinsi Jawa Timur,Jawa
Kab. Tuban,Provinsi Jawa Timur,Jawa
Kab. Tulungagung,Provinsi Jawa Timur,Jawa
Kota Blitar,Provinsi Jawa Timur,Jawa
Kota Kediri,Provinsi Jawa Timur,Jawa
Kota Madiun,Provinsi Jawa Timur,Jawa
Kota Malang,Provinsi Jawa Timur,Jawa
Kota Mojokerto,Provinsi Jawa Timur,Jawa
Kota Pasuruan,Provinsi Jawa Timur,Jawa
Kota Probolinggo,Provinsi Jawa Timur,Jawa
Kota Surabaya,Provinsi Jawa Timur,Jawa
Kota Batu,Provinsi Jawa Timur,Jawa
Kab. Bengkayang,Provinsi Kalimantan Barat,Kalimantan
Kab. Landak,Provinsi Kalimantan Barat,Kalimantan
Kab. Kapuas Hulu,Provinsi Kalimantan Barat,Kalimantan
Kab. Ketapang,Provinsi Kalimantan Barat,Kalimantan
Kab. Mempawah,Provinsi Kalimantan Barat,Kalimantan
Kab. Sambas,Provinsi Kalimantan Barat,Kalimantan
Kab. Sanggau,Provinsi Kalimantan Barat,Kalimantan
Kab. Sintang,Provinsi Kalimantan Barat,Kalimantan
Kota Pontianak,Provinsi Kalimantan Barat,Kalimantan
Kota Singkawang,Provinsi Kalimantan Barat,Kalimantan
Kab. Sekadau,Provinsi Kalimantan Barat,Kalimantan
Kab. Melawi,Provinsi Kalimantan Barat,Kalimantan
Kab. Kayong Utara,Provinsi Kalimantan Barat,Kalimantan
Kab. Kubu Raya,Provinsi Kalimantan Barat,Kalimantan
Kab. Barito Selatan,Provinsi Kalimantan Tengah,Kalimantan
Kab. Barito Utara,Provinsi Kalimantan Tengah,Kalimantan
Kab. Kapuas,Provinsi Kalimantan Tengah,Kalimantan
Kab. Kotawaringin Barat,Provinsi Kalimantan Tengah,Kalimantan
Kab. Kotawaringin Timur,Provinsi Kalimantan Tengah,Kalimantan
Kota Palangkaraya,Provinsi Kalimantan Tengah,Kalimantan
Kab. Katingan,Provinsi Kalimantan Tengah,Kalimantan
Kab. Seruyan,Provinsi Kalimantan Tengah,Kalimantan
Kab. Sukamara,Provinsi Kalimantan Tengah,Kalimantan
Kab. Lamandau,Provinsi Kalimantan Tengah,Kalimantan
Kab. Gunung Mas,Provinsi Kalimantan Tengah,Kalimantan
Kab. Pulang Pisau,Provinsi Kalimantan Tengah,Kalimantan
Kab. Murung Raya,Provinsi Kalimantan Tengah,Kalimantan
